N,merge_worst,merge_avg,merge_best,heap_worst,heap_avg,heap_best
100,0.000165836,0.000171563,0.000163668,0.000038813,0.000043578,0.000045936
100,0.000166043,0.000170852,0.000163524,0.000038899,0.000043379,0.000045721
100,0.000165140,0.000170401,0.000163381,0.000038749,0.000044083,0.000045924
100,0.000165538,0.000170416,0.000163625,0.000038825,0.000043768,0.000045925
100,0.000165376,0.000170809,0.000163442,0.000038745,0.000043083,0.000045926
100,0.000165447,0.000171644,0.000163328,0.000038847,0.000043492,0.000045848
100,0.000166170,0.000171265,0.000163305,0.000038823,0.000043494,0.000045885
100,0.000165974,0.000171117,0.000163718,0.000038792,0.000044258,0.000045872
100,0.000165543,0.000171263,0.000163508,0.000038863,0.000044360,0.000049987
100,0.000165568,0.000171226,0.000163747,0.000038675,0.000043212,0.000045954
100,0.000200939,0.000171019,0.000163331,0.000038838,0.000043703,0.000045862
100,0.000167991,0.000171202,0.000162932,0.000038837,0.000043869,0.000045905
100,0.000165659,0.000171360,0.000164013,0.000038794,0.000044364,0.000045832
100,0.000165287,0.000171959,0.000163292,0.000038878,0.000043185,0.000045857
100,0.000165336,0.000171190,0.000188646,0.000038792,0.000043365,0.000045813
100,0.000165616,0.000195956,0.000163547,0.000038790,0.000044067,0.000045895
100,0.000165797,0.000171098,0.000163370,0.000038780,0.000043891,0.000045861
500,0.000838875,0.000897828,0.000830937,0.000277382,0.000303733,0.000315256
500,0.000845318,0.000899110,0.000848891,0.000277085,0.000303191,0.000312907
500,0.000850679,0.000899391,0.000835901,0.000276606,0.000304553,0.000312855
500,0.000853316,0.000895488,0.000842983,0.000276732,0.000305347,0.000313080
500,0.000851013,0.000896737,0.000844440,0.000276797,0.000304131,0.000312781
500,0.000849979,0.000891296,0.000842759,0.000276678,0.000303434,0.000312988
500,0.000848670,0.000888352,0.000841973,0.000276670,0.000304871,0.000333566
500,0.000850333,0.000882659,0.000842159,0.000276582,0.000305005,0.000312958
500,0.000893294,0.000904448,0.000840971,0.000276556,0.000304128,0.000312932
500,0.000848493,0.000885684,0.000844863,0.000287003,0.000302206,0.000312797
500,0.000849465,0.000884434,0.000841089,0.000276580,0.000306153,0.000312864
500,0.000849958,0.000885233,0.000842261,0.000276753,0.000304198,0.000312762
500,0.000849664,0.000882889,0.000841887,0.000276809,0.000306409,0.000313064
500,0.000850524,0.000884958,0.000845398,0.000276642,0.000303283,0.000315933
500,0.000834372,0.000884638,0.000841982,0.000276822,0.000303979,0.000313007
500,0.000855121,0.000885766,0.000842301,0.000276542,0.000305672,0.000312813
500,0.000843095,0.000883610,0.000841351,0.000276584,0.000305704,0.000312934
500,0.000852201,0.000882700,0.000842352,0.000276483,0.000306601,0.000313020
500,0.000849821,0.000884034,0.000854675,0.000276537,0.000322850,0.000313064
500,0.000848546,0.000885265,0.000829674,0.000276632,0.000305451,0.000313504
500,0.000849255,0.000885663,0.000849349,0.000276492,0.000304195,0.000312829
500,0.000850681,0.000883000,0.000829050,0.000276607,0.000304502,0.000313019
500,0.000851769,0.000883034,0.000830016,0.000276610,0.000303691,0.000312822
500,0.000849168,0.000885619,0.000833062,0.000276513,0.000303323,0.000312956
500,0.000848646,0.000885833,0.000829728,0.000280089,0.000304164,0.000312775
